country,year,gdp_per_hour_worked_1990_100
can,2014,136.10000610351562
can,2015,137.1999969482422
chl,1980,107.0999984741211
chl,1981,111.30000305175781
chl,1982,103.0999984741211
chl,1983,93.80000305175781
chl,1984,94.9000015258789
chl,1985,91.0
chl,1986,91.0999984741211
chl,1987,93.30000305175781
chl,1988,94.19999694824219
chl,1989,98.69999694824219
chl,1990,100.0
chl,1991,105.9000015258789
chl,1992,113.0999984741211
chl,1993,114.0999984741211
chl,1994,119.30000305175781
chl,1995,129.5
chl,1996,135.1999969482422
chl,1997,145.3000030517578
chl,1998,145.3000030517578
chl,1999,147.60000610351562
chl,2000,153.39999389648438
chl,2001,158.10000610351562
chl,2002,158.89999389648438
chl,2003,159.6999969482422
chl,2004,166.89999389648438
chl,2005,176.5
chl,2006,182.6999969482422
chl,2007,190.1999969482422
chl,2008,194.0
chl,2009,195.1999969482422
chl,2010,200.6999969482422
chl,2011,205.5
chl,2012,214.6999969482422
chl,2013,219.89999389648438
chl,2014,220.5
chl,2015,224.10000610351562
chn,1990,100.0
chn,1991,105.4000015258789
chn,1992,114.5
chn,1993,124.30000305175781
chn,1994,135.5
chn,1995,154.5
chn,1996,155.6999969482422
chn,1997,161.89999389648438
chn,1998,160.39999389648438
chn,1999,169.1999969482422
chn,2000,182.6999969482422
chn,2001,200.1999969482422
chn,2002,223.60000610351562
chn,2003,255.8000030517578
chn,2004,279.70001220703125
chn,2005,309.70001220703125
chn,2006,349.8999938964844
chn,2007,412.29998779296875
chn,2008,457.79998779296875
chn,2009,497.0
chn,2010,520.0
chn,2011,575.7999877929688
chn,2012,616.5
chn,2013,656.5999755859375
chn,2014,702.7000122070312
chn,2015,749.5999755859375
col,1980,91.4000015258789
col,1981,89.69999694824219
col,1982,89.5
col,1983,91.19999694824219
col,1984,94.0
col,1985,95.0
col,1986,97.80000305175781
col,1987,98.4000015258789
col,1988,99.19999694824219
col,1989,98.19999694824219
col,1990,100.0
col,1991,96.0999984741211
col,1992,99.0999984741211
col,1993,98.0999984741211
col,1994,98.69999694824219
col,1995,99.30000305175781
col,1996,100.80000305175781
col,1997,102.30000305175781
col,1998,103.0
col,1999,100.9000015258789
col,2000,100.5
col,2001,101.19999694824219
col,2002,101.5999984741211
col,2003,102.19999694824219
col,2004,103.9000015258789
col,2005,104.69999694824219
col,2006,108.19999694824219
col,2007,111.4000015258789
col,2008,113.4000015258789
col,2009,115.19999694824219
col,2010,116.69999694824219
col,2011,119.80000305175781
col,2012,122.30000305175781
col,2013,126.0999984741211
col,2014,129.0
col,2015,131.39999389648438
cri,1987,99.0
cri,1988,99.69999694824219
cri,1989,99.80000305175781
cri,1990,100.0
cri,1991,98.9000015258789
cri,1992,101.9000015258789
cri,1993,104.9000015258789
cri,1994,105.9000015258789
cri,1995,107.0
cri,1996,105.30000305175781
cri,1997,106.5999984741211
cri,1998,111.0
cri,1999,116.9000015258789
cri,2000,114.0999984741211
