country,year,gdp_per_person_engaged_1990_100
irn,2006,119.4000015258789
irn,2007,126.9000015258789
irn,2008,131.3000030517578
irn,2009,135.10000610351562
irn,2010,141.89999389648438
irn,2011,138.8000030517578
irn,2012,127.9000015258789
irn,2013,123.5999984741211
irn,2014,124.80000305175781
irn,2015,125.5999984741211
irq,1980,254.0
irq,1981,201.89999389648438
irq,1982,194.39999389648438
irq,1983,172.39999389648438
irq,1984,167.8000030517578
irq,1985,160.39999389648438
irq,1986,154.10000610351562
irq,1987,153.89999389648438
irq,1988,117.80000305175781
irq,1989,104.30000305175781
irq,1990,100.0
irq,1991,38.29999923706055
irq,1992,47.900001525878906
irq,1993,46.099998474121094
irq,1994,42.20000076293945
irq,1995,36.900001525878906
irq,1996,40.0
irq,1997,36.599998474121094
irq,1998,41.099998474121094
irq,1999,42.5
irq,2000,45.70000076293945
irq,2001,48.29999923706055
irq,2002,50.20000076293945
irq,2003,44.20000076293945
irq,2004,65.0999984741211
irq,2005,57.099998474121094
irq,2006,60.599998474121094
irq,2007,59.0
irq,2008,60.0
irq,2009,61.5
irq,2010,62.79999923706055
irq,2011,67.0
irq,2012,71.5
irq,2013,72.80000305175781
irq,2014,68.80000305175781
irq,2015,67.5999984741211
irl,1980,70.30000305175781
irl,1981,72.80000305175781
irl,1982,74.80000305175781
irl,1983,75.30000305175781
irl,1984,80.0
irl,1985,82.9000015258789
irl,1986,83.0
irl,1987,86.4000015258789
irl,1988,90.80000305175781
irl,1989,96.19999694824219
irl,1990,100.0
irl,1991,102.30000305175781
irl,1992,105.30000305175781
irl,1993,106.5
irl,1994,109.30000305175781
irl,1995,114.80000305175781
irl,1996,120.80000305175781
irl,1997,126.80000305175781
irl,1998,126.9000015258789
irl,1999,131.3000030517578
irl,2000,137.6999969482422
irl,2001,140.60000610351562
irl,2002,146.5
irl,2003,148.0
irl,2004,149.6999969482422
irl,2005,150.8000030517578
irl,2006,152.10000610351562
irl,2007,152.89999389648438
irl,2008,149.8000030517578
irl,2009,152.1999969482422
irl,2010,158.1999969482422
irl,2011,165.5
irl,2012,166.0
irl,2013,162.39999389648438
irl,2014,167.3000030517578
irl,2015,170.0
